,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
274,0.5224028587341308,0.05909870956184015,0.0013963699340820313,0.000488558179399531,0.001,"(100, 25, 100)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 10}",0.9161598566163882,0.8827074500302846,0.8749242883101153,0.8954774883908742,0.9171531367183541,0.897284135541122,0.017127269473957835,62,0.9003126184160668,0.8997437540038438,0.9042501491086616,0.8992732333384876,0.8979770185677464,0.9003113546869612,0.002114856717630425
275,0.5046502590179444,0.07573156827957388,0.0011972427368164063,0.00039904130048602304,0.001,"(100, 25, 100)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 15}",0.9253126447429365,0.8822027054310516,0.8907631738340401,0.9038562487381385,0.9020370933414412,0.9008416016496339,0.014555136900971797,57,0.9056539724643174,0.9094236674103693,0.9127217301022776,0.9084119375289934,0.8974382336176588,0.9067299082247233,0.005166823885272284
276,0.4827087879180908,0.07805234726419912,0.0013972282409667968,0.0004877621482296728,0.001,"(100, 25, 100)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 20}",0.9181283605533961,0.8912679184332726,0.8911265899454877,0.8981324449828386,0.9224941724941724,0.9042285414396157,0.013441885779293986,53,0.8978021978021978,0.9123064348671277,0.9141222470123044,0.8990258234111643,0.9126559922722665,0.907182539073012,0.007195767604102204
277,0.5605014801025391,0.09100649345756179,0.001595449447631836,0.00048780216149400715,0.001,"(100, 25, 100)",25,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 25}",0.9345661236079505,0.8892085604684029,0.8957096709065213,0.9089844538663436,0.9209992905645079,0.9098978331849326,0.016508813817384234,32,0.9167882404951371,0.9232697872716429,0.9185380724115841,0.9232410700479354,0.9009849455477257,0.916564423154805,0.008200061338490456
278,0.5198095321655274,0.08675615389560624,0.0011973857879638671,0.0003996850197823066,0.001,"(100, 25, 100)",30,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 30}",0.9269790764645469,0.8972642842721582,0.9005148394912175,0.9142943670502724,0.9302928955102867,0.9138680634213467,0.013384301223873197,18,0.9041177213591005,0.9298438224833772,0.9262961408469373,0.9145949766948682,0.9148896326300019,0.917948458802857,0.009198641537133312
279,0.5168182373046875,0.054200238638971276,0.001396512985229492,0.0004890256382016833,0.001,"(100, 25, 100)",35,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 35}",0.9378133999234751,0.8972642842721582,0.8857762971936202,0.9054613365636986,0.9214806932198236,0.9095642745037179,0.018303139065172225,36,0.9210496400151572,0.9292761050608584,0.9078508471580996,0.9133181647485032,0.9082353705226309,0.9159460255010499,0.008193041766213527
280,0.5736659049987793,0.0873070431980162,0.0015958786010742188,0.0004888308773267217,0.001,"(100, 25, 100)",40,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 40}",0.9357442052480013,0.9082071471835251,0.9042701393095095,0.9201090248334343,0.9447147055842707,0.9226062585620786,0.015560732422293914,4,0.9191802450423141,0.9374560957829862,0.928710596655548,0.9260244317303231,0.9287243312635249,0.9280191400949391,0.005867477594824065
281,0.6362985610961914,0.1382298596932889,0.0013960838317871095,0.00048772268645447774,0.001,"(100, 25, 100)",45,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 45}",0.9370229776265179,0.913517060367454,0.9122350090854028,0.9218958207147182,0.9109050369919934,0.919123292118905,0.00974573023691505,8,0.9259583806997599,0.9423579049680798,0.9412224701230424,0.931100753274868,0.914836668398513,0.9310952354928526,0.010199381515910771
282,0.5517304897308349,0.1623194994578446,0.0013959407806396484,0.0004872568148172859,0.001,"(100, 25, 100)",50,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 50}",0.937813399923475,0.9122350090854028,0.9075206945285686,0.9183222289521501,0.9466909901692508,0.9245137075161651,0.01513993370853141,1,0.9383510167992927,0.9298438224833772,0.9415184784289471,0.9188296626830723,0.9290912977245557,0.931526855623849,0.007954683569267039
283,0.5914183139801026,0.09198247292084338,0.0013966083526611329,0.0004885582026693973,0.001,"(100, 25, 100)",55,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 55}",0.9343647421310189,0.9084797092671106,0.9088027458106198,0.9146174035937815,0.9214806932198235,0.9175530600618966,0.00965386602301812,10,0.9245342301376785,0.9357551525326384,0.9312973558064018,0.9336146148578498,0.9212343061937885,0.9292871319056715,0.005514371710820453
284,0.5684797763824463,0.09957971338087666,0.0011973381042480469,0.00039852245670629014,0.001,"(100, 25, 100)",60,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 60}",0.9429284894375415,0.9066525338178879,0.9014334746618212,0.9011104381183122,0.908340934427891,0.9121039155694018,0.015685663563869256,23,0.9347543261336365,0.9292805230952751,0.9254854315315117,0.9082926505997481,0.9047819765242349,0.9205189815768813,0.01184239643627382
285,0.09454865455627441,0.004735916568155082,0.0009962081909179687,2.6745421719322506e-06,0.0001,"(50, 50)",2,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 2}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
286,0.10212736129760742,0.006985106809518027,0.0009970664978027344,6.397441799640054e-07,0.0001,"(50, 50)",3,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 3}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
287,0.09813246726989747,0.002049514521738937,0.0007979393005371094,0.00039896966451610907,0.0001,"(50, 50)",4,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 4}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5,0.5,0.5,0.4999999999999999,0.5,0.5,4.965068306494546e-17
288,0.17014460563659667,0.08746715919811907,0.0007979869842529297,0.00039899370226528265,0.0001,"(50, 50)",5,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 5}",0.5,0.4999999999999999,0.5,0.8286896830203916,0.837995337995338,0.6332320367068741,0.1633073700623548,154,0.5,0.5,0.5,0.8343016192096135,0.854608455613452,0.6377820149646131,0.16886995657024528
289,0.14820380210876466,0.08149031347954185,0.0007981300354003906,0.00039906520287409956,0.0001,"(50, 50)",6,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 6}",0.5,0.4999999999999999,0.5,0.8279123763375731,0.5,0.5655824752675146,0.13116495053502925,179,0.5,0.5,0.5,0.830731847401091,0.5,0.5661463694802181,0.1322927389604364
290,0.14481258392333984,0.08423452958347571,0.0007979393005371094,0.00039896966451610907,0.0001,"(50, 50)",7,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 7}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.8419479071652983,0.5682833864308344,0.13669945216320548,175,0.5,0.5,0.5,0.4999999999999999,0.8562799815381823,0.5712559963076365,0.14251199261527292
291,0.1099057674407959,0.0021294685050338032,0.0009974002838134765,1.1680077279964342e-07,0.0001,"(50, 50)",8,"{'NN__alpha': 0.0001, 'NN__hidden_layer_sizes': (50, 50), 'ica__n_components': 8}",0.5,0.4999999999999999,0.5,0.4999999999999999,0.5,0.5,7.021666937153402e-17,242,0.5004926108374385,0.5004926108374385,0.5,0.4999999999999999,0.5,0.5001970443349754,0.00024132903869788423
