,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
54,0.20505142211914062,0.007918713688679715,0.0017960548400878906,0.0003993778191366845,0.01,"(25,)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 7}",0.9264301333145232,0.8980328053661031,0.893785205766358,0.9043153853231746,0.8986430718115566,0.9042443670206093,0.011591486530767059,41,0.8821268620312728,0.9090190564538612,0.9018719919952058,0.9031811429121851,0.9071859290011433,0.9006769964787337,0.009630809092421434
55,0.367417049407959,0.09301139986311488,0.0015960693359375,0.0004884997964692402,0.01,"(25,)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25,), 'pca__n_components': 8}",0.9237076480844444,0.8862928348909678,0.8992918324819719,0.8964366804133284,0.8805498466888769,0.8972591162789616,0.014860243844453514,74,0.8938558088048257,0.8936243132215151,0.9023091045939303,0.9140955011265348,0.9032352550740897,0.901423996564179,0.007519888665326252
56,0.43543529510498047,0.15703433716957524,0.0019953250885009766,1.1384331117928812e-06,0.01,"(25, 25)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 2}",0.896272753539439,0.8760398768309509,0.8869357296479353,0.8859695117476467,0.8460380321638055,0.8782538812841637,0.017333489631634284,123,0.860087944635189,0.880725943411531,0.8707040033702251,0.8750408264701082,0.8928477066680333,0.8758812849110174,0.010846846498731019
57,0.5341711044311523,0.18478711277621937,0.001994466781616211,4.156969970265077e-07,0.01,"(25, 25)",3,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 3}",0.8824134384641751,0.8881061357069056,0.9038825312222413,0.8988592213379508,0.860515800155146,0.8867548400273877,0.015157674325593418,94,0.843696779378538,0.8936401295004044,0.8917188762627131,0.9000275367332955,0.9068069517406651,0.8871780547231232,0.022375886853165
58,0.4968707084655762,0.11750614765937833,0.0019946575164794924,1.7841612752790173e-07,0.01,"(25, 25)",4,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 4}",0.9234900593611606,0.9053995537147979,0.9038825312222413,0.8929217763266151,0.866337859567434,0.8984109186665086,0.01879709115069485,69,0.8837039689037713,0.9079939603459506,0.9010602335074729,0.9084200252802178,0.9076701873071725,0.901769675068917,0.00943035499216371
59,0.7132921695709229,0.10982862351191923,0.001994800567626953,4.1019083342755444e-07,0.01,"(25, 25)",5,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 5}",0.933875035023816,0.9130877557528331,0.9232669844284448,0.8960045135796875,0.888228089059511,0.9108963197897313,0.01686152225957902,18,0.906914063866519,0.9150580594481785,0.9194885267739439,0.9195427553787529,0.9169003631873793,0.9155807537309547,0.00464960727050605
60,0.5938114166259766,0.31618335724512164,0.001994800567626953,3.162979879718208e-07,0.01,"(25, 25)",6,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 6}",0.9332213355732882,0.9231722504519833,0.8988592213379512,0.8933532824195531,0.8744320218412706,0.9046136721375985,0.021137252266013033,39,0.8999655255352549,0.9239719070595349,0.8978343275526465,0.9085823477509526,0.90605128817506,0.9072810792146896,0.009214639033102604
61,0.4462069034576416,0.03277307091763747,0.001994752883911133,1.9073486328125e-07,0.01,"(25, 25)",7,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 7}",0.9311869720863845,0.9130877557528331,0.9060509554140145,0.8906892868097365,0.8962205448976795,0.9074513431255068,0.0141734228808661,23,0.8953569263364272,0.9100379489141202,0.9117966596683418,0.9088530141510136,0.9101952439659791,0.9072479586071763,0.006018871489003599
62,0.4190789222717285,0.05633378133711605,0.0019947052001953124,2.431401974483864e-07,0.01,"(25, 25)",8,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (25, 25), 'pca__n_components': 8}",0.9262123598410941,0.912871775885476,0.909288962548887,0.8933532824195531,0.8746469726326653,0.903279098545769,0.01773399480921847,48,0.8845409122953212,0.9155331405017407,0.90874472824175,0.9043748188939238,0.9039407281238675,0.9034268656113206,0.01032166127559361
63,0.6947420120239258,0.09612264259898272,0.006781101226806641,0.0007457157970160237,0.01,"(100, 25, 100)",2,"{'NN__alpha': 0.01, 'NN__hidden_layer_sizes': (100, 25, 100), 'pca__n_components': 2}",0.9058330156309564,0.8888328997675774,0.8844615930195784,0.8643991471030276,0.8148426772288732,0.8716806894532098,0.03132853318020906,133,0.8806513080888013,0.8887823800472799,0.8689531470592853,0.8551912797370679,0.8632753834251119,0.8713706996715093,0.012020388024354
